strategy,strategy_label,symbol,contribution_interval,start,end,contributed_usd,invested_usd,ending_cash_usd,ending_value_usd,return_pct,deployment_pct,max_drawdown_pct,trade_count
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),BTC-USD,1d,2020-01-01,2026-04-30,231200.00,231200.00,0.00,638490.46,176.16,100.00,69.72,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,122600.00,108600.00,447333.30,93.48,53.03,53.00,1226
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,106700.00,124500.00,406180.58,75.68,46.15,41.89,1067
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,229900.00,1300.00,626433.94,170.95,99.44,69.34,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,121600.00,109600.00,409189.64,76.99,52.60,49.53,1216
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,104700.00,126500.00,422981.12,82.95,45.29,42.63,1047
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,229900.00,1300.00,626110.09,170.81,99.44,69.27,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,128100.00,103100.00,426775.50,84.59,55.41,54.02,1281
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,93200.00,138000.00,356857.66,54.35,40.31,33.33,932
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=100,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,230600.00,600.00,584507.73,152.81,99.74,67.23,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,127900.00,103300.00,372888.53,61.28,55.32,44.01,1279
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,83400.00,147800.00,333836.69,44.39,36.07,30.32,834
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=200,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,223500.00,7700.00,599647.33,159.36,96.67,68.35,2312
weekly_drawdown_scaled_dca,"weekly_drawdown_scaled_dca(weekly_amount_usd=100,lookback_days=90,mild_drawdown_pct=0.10,deep_drawdown_pct=0.20)",BTC-USD,1d,2020-01-01,2026-04-30,231200.00,231050.00,150.00,619227.20,167.83,99.94,69.38,2312
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),BTC-USD,2d,2020-01-01,2026-04-29,115600.00,115600.00,0.00,316917.99,174.15,100.00,68.43,1156
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,60800.00,54800.00,220305.46,90.58,52.60,51.11,608
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,53800.00,61800.00,203734.52,76.24,46.54,40.89,538
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,114950.00,650.00,311290.82,169.28,99.44,68.05,1156
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,60900.00,54700.00,202025.55,74.76,52.68,47.69,609
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,52200.00,63400.00,211436.12,82.90,45.16,41.34,522
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,114950.00,650.00,311342.25,169.33,99.44,67.97,1156
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,64200.00,51400.00,211353.79,82.83,55.54,52.20,642
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,46400.00,69200.00,178310.76,54.25,40.14,31.72,464
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=100,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,115350.00,250.00,291105.48,151.82,99.78,65.97,1156
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,64200.00,51400.00,185395.03,60.38,55.54,42.23,642
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,41400.00,74200.00,166133.65,43.71,35.81,28.63,414
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=200,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,111300.00,4300.00,297680.95,157.51,96.28,66.99,1156
weekly_drawdown_scaled_dca,"weekly_drawdown_scaled_dca(weekly_amount_usd=100,lookback_days=90,mild_drawdown_pct=0.10,deep_drawdown_pct=0.20)",BTC-USD,2d,2020-01-01,2026-04-29,115600.00,115550.00,50.00,306983.15,165.56,99.96,68.03,1156
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),BTC-USD,3d,2020-01-01,2026-04-29,77100.00,77100.00,0.00,211632.03,174.49,100.00,68.55,771
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,3d,2020-01-01,2026-04-29,77100.00,40200.00,36900.00,145016.97,88.09,52.14,50.07,402
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,3d,2020-01-01,2026-04-29,77100.00,36200.00,40900.00,137800.86,78.73,46.95,42.49,362
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,3d,2020-01-01,2026-04-29,77100.00,76650.00,450.00,208115.04,169.93,99.42,68.16,771
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,3d,2020-01-01,2026-04-29,77100.00,40500.00,36600.00,136070.66,76.49,52.53,47.95,405
