strategy,strategy_label,symbol,contribution_interval,start,end,initial_value_usd,gross_buys_usd,gross_sells_usd,net_buys_usd,withdrawn_dai_usd,ending_dai_usd,ending_btc_units,ending_eth_units,ending_value_usd,realized_value_usd,return_pct,turnover_pct,max_drawdown_pct,trade_count
budgeted_static_50_50_rebalance,"budgeted_static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50,buy_budget_fraction=0.60,sell_budget_fraction=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,68154.64,81887.04,-13732.40,0.00,23732.40,0.49968640,15.15580869,95713.69,95713.69,857.14,1500.42,66.06,662
budgeted_drawdown_tilt_rebalance,"budgeted_drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_buy_budget_fraction=1.00,bull_sell_budget_fraction=0.30)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,81434.89,108421.21,-26986.32,0.00,36986.32,0.39310047,13.31074030,96738.60,96738.60,867.39,1898.56,62.83,569
budgeted_btc_defensive_eth_aggressive,"budgeted_btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_buy_budget_fraction=0.90,strong_buy_budget_fraction=0.65,sell_budget_fraction=0.20)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,46733.46,54454.53,-7721.07,0.00,17721.07,0.67458949,16.28609931,105497.02,105497.02,954.97,1011.88,73.77,352
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,163372.65,175996.26,-12623.61,0.00,22623.61,0.59886283,19.79972577,112575.21,112575.21,1025.75,3393.69,65.46,662
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,296909.17,292945.38,3963.79,0.00,6036.21,0.35948009,11.88519936,60031.55,60031.55,500.32,5898.55,66.41,662
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,279173.65,278369.96,803.69,0.00,9196.31,0.55151006,18.16779357,91885.94,91885.94,818.86,5575.44,68.54,662
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,348276.70,343102.91,5173.79,0.00,4826.21,0.52817772,22.70574627,95967.13,95967.13,859.67,6913.80,68.53,662
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,299136.81,318341.71,-19204.90,0.00,29204.90,0.70070818,15.38906779,116939.43,116939.43,1069.39,6174.79,65.41,662
budgeted_static_50_50_rebalance,"budgeted_static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50,buy_budget_fraction=0.60,sell_budget_fraction=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,10000.00,63552.04,72168.16,-8616.12,0.00,18616.12,0.43349000,13.35317638,81523.58,81523.58,715.24,1357.20,66.15,636
budgeted_drawdown_tilt_rebalance,"budgeted_drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_buy_budget_fraction=1.00,bull_sell_budget_fraction=0.30)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,10000.00,74029.70,91898.53,-17868.82,0.00,27868.82,0.32954324,11.55798662,78859.52,78859.52,688.60,1659.28,65.23,515
