strategy                     strategy_label                                                                                                                                symbol              contribution_interval start      end        initial_value_usd gross_buys_usd gross_sells_usd net_buys_usd withdrawn_dai_usd ending_dai_usd ending_btc_units ending_eth_units ending_value_usd realized_value_usd return_pct turnover_pct max_drawdown_pct trade_count
---------------------------- --------------------------------------------------------------------------------------------------------------------------------------------- ------------------- --------------------- ---------- ---------- ----------------- -------------- --------------- ------------ ----------------- -------------- ---------------- ---------------- ---------------- ------------------ ---------- ------------ ---------------- -----------
static_50_50_rebalance       static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)                                                                              BTC-USD+ETH-USD+DAI 1d                    2020-01-01 2026-04-30 14238.12          575598.85      599099.95       -23501.11    0.00              33501.11       0.87757392       29.54137627      167134.05        167134.05          1073.85    8250.38      66.83            4624       
target_50_50_with_cash_band  target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60) BTC-USD+ETH-USD+DAI 1d                    2020-01-01 2026-04-30 14238.12          1164401.45     1163172.92      1228.53      0.00              8771.47        0.51698296       17.40290609      87495.14         87495.14           514.51     16347.49     66.20            4624       
narrow_cash_band_rebalance   narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)  BTC-USD+ETH-USD+DAI 1d                    2020-01-01 2026-04-30 14238.12          1264580.28     1268708.35      -4128.07     0.00              14128.07       0.83126424       27.94013877      140613.65        140613.65          887.59     17792.30     69.35            4624       
drawdown_tilt_rebalance      drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)    BTC-USD+ETH-USD+DAI 1d                    2020-01-01 2026-04-30 14238.12          1360179.58     1356880.90      3298.68      0.00              6701.32        0.71417047       32.00635993      133428.61        133428.61          837.12     19083.01     69.50            4624       
btc_defensive_eth_aggressive btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10) BTC-USD+ETH-USD+DAI 1d                    2020-01-01 2026-04-30 14238.12          1638922.07     1673646.09      -34724.02    0.00              44724.02       1.05260488       23.58676611      178274.47        178274.47          1152.09    23265.50     66.47            4624       
static_50_50_rebalance       static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)                                                                              BTC-USD+ETH-USD+DAI 2d                    2020-01-01 2026-04-29 14238.12          405039.59      428003.26       -22963.66    0.00              32963.66       0.86141823       28.88320857      163259.23        163259.23          1046.64    5850.79      65.81            2312       
target_50_50_with_cash_band  target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60) BTC-USD+ETH-USD+DAI 2d                    2020-01-01 2026-04-29 14238.12          762600.37      761230.98       1369.39      0.00              8630.61        0.50745239       17.01474957      85386.25         85386.25           499.70     10702.48     65.75            2312       
narrow_cash_band_rebalance   narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)  BTC-USD+ETH-USD+DAI 2d                    2020-01-01 2026-04-29 14238.12          841002.69      845010.74       -4008.04     0.00              14008.04       0.82333972       27.52927698      138370.20        138370.20          871.83     11841.55     68.50            2312       
drawdown_tilt_rebalance      drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)    BTC-USD+ETH-USD+DAI 2d                    2020-01-01 2026-04-29 14238.12          926087.58      923000.25       3087.33      0.00              6912.67        0.71762412       31.90410797      133118.03        133118.03          834.94     12986.89     68.62            2312       
